18:12:12 | 200 |      1.4502ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      1.2977ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      3.7929ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      1.1032ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      2.8274ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      2.1367ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |      1.4707ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |      1.4014ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |      1.8626ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |      1.6059ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:14 | 200 |      1.0789ms | 127.0.0.1 | POST | /api/user/login | -
18:12:17 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:20 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:23 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:26 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:29 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:32 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:35 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:36 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:12:36 | 200 |      3.4086ms | 127.0.0.1 | POST | /api/user/login | -
18:12:36 | 200 |      1.9362ms | 127.0.0.1 | POST | /api/user/login | -
18:12:37 | 200 |      1.8262ms | 127.0.0.1 | POST | /api/user/login | -
18:12:37 | 200 |      1.3409ms | 127.0.0.1 | POST | /api/user/login | -
18:12:37 | 200 |      2.7523ms | 127.0.0.1 | POST | /api/user/login | -
18:12:37 | 200 |      1.3757ms | 127.0.0.1 | POST | /api/user/login | -
18:12:37 | 200 |      2.8459ms | 127.0.0.1 | POST | /api/user/login | -
18:12:37 | 200 |      2.1257ms | 127.0.0.1 | POST | /api/user/login | -
18:12:37 | 200 |      2.2622ms | 127.0.0.1 | POST | /api/user/login | -
18:12:38 | 200 |      1.8568ms | 127.0.0.1 | POST | /api/user/login | -
18:12:38 | 200 |       4.613ms | 127.0.0.1 | POST | /api/user/login | -
18:12:38 | 200 |      1.3997ms | 127.0.0.1 | POST | /api/user/login | -
18:12:38 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:38 | 200 |      1.9133ms | 127.0.0.1 | POST | /api/user/login | -
18:12:38 | 200 |      1.7005ms | 127.0.0.1 | POST | /api/user/login | -
18:12:38 | 200 |      1.6201ms | 127.0.0.1 | POST | /api/user/login | -
18:12:39 | 200 |      1.5924ms | 127.0.0.1 | POST | /api/user/login | -
18:12:39 | 200 |      1.6931ms | 127.0.0.1 | POST | /api/user/login | -
18:12:39 | 200 |      3.0809ms | 127.0.0.1 | POST | /api/user/login | -
18:12:39 | 200 |      1.9702ms | 127.0.0.1 | POST | /api/user/login | -
18:12:39 | 200 |      2.3922ms | 127.0.0.1 | POST | /api/user/login | -
18:12:39 | 200 |      1.5907ms | 127.0.0.1 | POST | /api/user/login | -
18:12:40 | 200 |      1.9211ms | 127.0.0.1 | POST | /api/user/login | -
18:12:40 | 200 |      3.0005ms | 127.0.0.1 | POST | /api/user/login | -
18:12:40 | 200 |      6.5737ms | 127.0.0.1 | POST | /api/user/login | -
18:12:40 | 200 |      1.5617ms | 127.0.0.1 | POST | /api/user/login | -
18:12:40 | 200 |       884.8µs | 127.0.0.1 | POST | /api/user/login | -
18:12:40 | 200 |      1.2708ms | 127.0.0.1 | POST | /api/user/login | -
18:12:41 | 200 |      2.3331ms | 127.0.0.1 | POST | /api/user/login | -
18:12:41 | 200 |      3.4823ms | 127.0.0.1 | POST | /api/user/login | -
18:12:41 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:41 | 200 |      1.6072ms | 127.0.0.1 | POST | /api/user/login | -
18:12:41 | 200 |      1.1001ms | 127.0.0.1 | POST | /api/user/login | -
18:12:41 | 200 |       2.519ms | 127.0.0.1 | POST | /api/user/login | -
18:12:41 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:12:41 | 200 |      1.7525ms | 127.0.0.1 | POST | /api/user/login | -
18:12:42 | 200 |      1.2334ms | 127.0.0.1 | POST | /api/user/login | -
18:12:42 | 200 |      6.2115ms | 127.0.0.1 | POST | /api/user/login | -
18:12:42 | 200 |        2.76ms | 127.0.0.1 | POST | /api/user/login | -
18:12:42 | 200 |      1.6869ms | 127.0.0.1 | POST | /api/user/login | -
